# year|team key|OpenDota team ID|finish|historical name|positions 1-5|verified coaching staff|region
2011|navi|36|1|Natus Vincere|XBOCT,Dendi,LighTofHeaveN,Artstyle,Puppey||东欧
2011|ehome|4|2|EHOME|820,QQQ,MMY!,LaNm,SJQ|71|中国
2011|scythe|2|3|Scythe Gaming|hyhy,iceiceice,xy-,Chawy,Roy||东南亚
2011|mym|8|4|Meet Your Makers|MiSeRy,PlaymatE,DeMoN,MaNia,Maelk||欧洲
2011|m5|33|5–6|Moscow Five|Dread,God,Santa,ARS-ART,NS||东欧
2011|ig|5|5–6|Invictus Gaming|Zhou,Ferrari_430,xiao8,SanSheng,DDC||中国
2011|ok|18|7–8|OK.Nirvana.int|Pajkatt,Fear,Lacoste,ComeWithMe,1437||欧洲
2011|mith|24|7–8|MiTH.Trust|LaKelz,aabBAA,l3nu,TnK,Lookball||东南亚
2012|ig|5|1|Invictus Gaming|Zhou,Ferrari_430,YYF,ChuaN,Faith||中国
2012|navi|36|2|Natus Vincere|XBOCT,Dendi,LighTofHeaveN,Puppey,ARS-ART||东欧
2012|lgd|15|3|LGD Gaming|Sylar,xiao8,Yao,DD,DDC||中国
2012|dk|7|4|Team DK|BurNIng,Super,rOtK,LongDD,Zippo||中国
2012|ehome|4|5–6|EHOME|LaNm,KingJ,PCT,MMY!,QQQ||中国
2012|zenith|2|5–6|Team Zenith|hyhy,iceiceice,Loda,xy-,xFreedom||东南亚
2012|tongfu|20|7–8|TongFu|Hao,Mu,Kabu,Awoke,SanSheng||中国
2012|orange|42|7–8|Orange Esports|YamateH,Mushi,WinteR,XtiNcT,Ice||东南亚
2013|alliance|111474|1|Alliance|Loda,s4,AdmiralBulldog,EGM,Akke||欧洲
2013|navi|36|2|Natus Vincere|XBOCT,Dendi,Funn1k,KuroKy,Puppey||东欧
2013|orange|416900|3|Orange Esports|Mushi,kYxY,Ohaiyo,Net,XtiNcT||东南亚
2013|tongfu|20|4|TongFu|Hao,Mu,KingJ,Banana,SanSheng|sydm|中国
2013|ig|5|5–6|Invictus Gaming|Zhou,Ferrari_430,YYF,ChuaN,Faith||中国
2013|dk|7|5–6|Team DK|BurNIng,Super,rOtK,QQQ,MMY!||中国
